REPORTYEAR,COUNTRY,Liver,Kidney,Lung,Heart
2000,Spain,954.0,1938.0,138.0,353.0
2001,Spain,972.0,1924.0,143.0,341.0
2002,Spain,1033.0,2032.0,161.0,310.0
2003,Spain,1037.0,2051.0,145.0,290.0
2004,Spain,1040.0,2126.0,143.0,294.0
2005,Spain,1070.0,2200.0,167.0,
2006,Spain,1051.0,2157.0,169.0,274.0
2007,Spain,1112.0,2211.0,185.0,241.0
2008,Spain,1108.0,2229.0,192.0,292.0
2009,Spain,1099.0,2328.0,219.0,274.0
2010,Spain,971.0,2225.0,235.0,243.0
2011,Spain,1137.0,2498.0,230.0,237.0
2012,Spain,1084.0,2551.0,238.0,247.0
2013,Spain,1093.0,2552.0,285.0,249.0
2014,Spain,1068.0,2678.0,262.0,265.0
2015,Spain,1162.0,2905.0,294.0,299.0
2016,Spain,1159.0,2997.0,307.0,281.0
2017,Spain,1247.0,3269.0,363.0,304.0
2018,Spain,1230.0,3313.0,369.0,321.0
2019,Spain,1227.0,3423.0,419.0,300.0
2020,Spain,1034.0,2702.0,336.0,278.0
2021,Spain,1078.0,2950.0,362.0,302.0
2022,Spain,1159.0,3404.0,415.0,311.0
